-{b}{t}द्ध,त्{b}{t}ह
-{b}{t}प्य,पि{b}{t}अ
ऽ-{b}{t},{b}{t}अ
-{b}{t}स्,ः{b}{t}
-{b}{t}श्,ः{b}{t}
-{b}{t}ग्,ग्{b}{t}
-{b}{t}त्,त्{b}{t}
-{b}{t}क्,क्{b}{t}
-{b}{t}ल्ल,त्{b}{t}ल
-{b}{t}मा,म्{b}{t}आ
-{b}{t}मे,म्{b}{t}ए
-{b}{t}मौ,म्{b}{t}औ
य-{b}{t}मु,य-{b}{t}मु
-{b}{t}मु,म्{b}{t}उ
-{b}{t}मृ,म्{b}{t}ऋ
-{b}{t}मू,-{b}{t}मू
-{b}{t}मि,म्{b}{t}इ
-{b}{t}म,म्{b}{t}अ
-{b}{t}न्म,त्{b}{t}म
-{b}{t}न्मा,त्{b}{t}मा
-{b}{t}नु,न्{b}{t}उ
-{b}{t}न्द,न्{b}{t}द
-{b}{t}न्नग,न्न्{b}{t}अग
-{b}{t}न्ना,न्{b}{t}ना
-{b}{t}न्नभ,न्न्{b}{t}अभ
-{b}{t}न्नध,न्न्{b}{t}अध
-{b}{t}न्नि,न्न्{b}{t}इ
-{b}{t}न्न,न्न्{b}{t}अ
प-{b}{t}न,प-{b}{t}न
-{b}{t}न,न्{b}{t}अ
-{b}{t}ञ्‌,न्‌{b}{t}
-{b}{t}द्वि,त्{b}{t}वि
-{b}{t}दि,त्{b}{t}इ
-{b}{t}द््,त्{b}{t}
-{b}{t}द्,त्{b}{t}
-{b}{t}दुर्,-{b}{t}दुर्
-{b}{t}दु,त्{b}{t}उ
-{b}{t}द,त्{b}{t}अ
-{b}{t}रि,ः{b}{t}इ
-{b}{t}र्,ः{b}{t}
-{b}{t}रा,ः{b}{t}आ
-{b}{t}रु,ः{b}{t}उ
-{b}{t}रै,ः{b}{t}ऐ
-{b}{t}रे,ः{b}{t}ए
-{b}{t}र,ः{b}{t}अ
भा-{b}{t}व,भौ{b}{t}अ
का-{b}{t}व,कौ{b}{t}अ
दा-{b}{t}व,दौ{b}{t}अ
णा-{b}{t}व,णौ{b}{t}अ